title,description,type
Lo-Fi Chill Beats,calm relaxing lo-fi music slow rhythm focus,Music
Nature Escape,peaceful nature documentary forests oceans slow visuals,Movie
Comedy Tonight,funny standup comedy light heart laughter,Movie
Power Workout,energetic intense motivational workout music,Music
Sci-Fi Rush,fast paced futuristic action sci-fi thriller,Movie
Mindfulness Guide,meditation breathing calm mindfulness stress relief,Activity
Travel Rush,exciting adventure travel exploration vlog,Video
Late Night Jazz,smooth jazz calm relaxing night vibes,Music
Rom-Com Escape,romantic light comedy feel good movie,Movie
Deep Focus Mode,concentration productivity focus instrumental sounds,Activity
